Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original Name,Needs Review,Confidence Score,
Cooke, Anamorphic,100,T2.3,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Cooke Anamorphic 1.8x Lens T2.3,TRUE,0.375,
Cooke, Anamorphic,135,T2.3,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Cooke Anamorphic 1.8x Lens T2.3,TRUE,0.375,
Cooke, Anamorphic,180,T2.9,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm Cooke Anamorphic 1.8x Lens T2.9,TRUE,0.375,
Statera, Anamorphic,50,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,50mm Statera Anamorphic 1.5x T2.1 - Ancient Optics,TRUE,0.4418604651,
Statera, Anamorphic,75,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,75mm Statera Anamorphic 1.5x T2.1 - Ancient Optics,TRUE,0.4418604651,
Statera, Anamorphic,95,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,95mm Statera Anamorphic 1.5x T2.1 - Ancient Optics,TRUE,0.4418604651,
Statera, Anamorphic,135,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,135mm Statera Anamorphic 1.5x T2.1 - Ancient Optics,TRUE,0.4545454545,
Statera, Anamorphic,35,T2.1,Prime,,LPL,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,35mm Statera Anamorphic 1.5x T2.1 - Ancient Optics (LPL),TRUE,0.4583333333,
Statera, Anamorphic,40,T2.1,Prime,,LPL,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,40mm Statera Anamorphic 1.5x T2.1 - Ancient Optics (LPL),TRUE,0.4583333333,
Swift,960 Series Microscope Lens,960,,Special,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swift 960 Series Microscope Lens,TRUE,0.3928571429,
Fujinon,Alura,18-80,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-80mm Arri Alura Fujinon Zoom T2.6,FALSE,0.7741935484,
Fujinon,Alura,30-80,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-80mm Arri Alura Fujinon Zoom T2.8,FALSE,0.7741935484,
Fujinon,Alura,45-250,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-250mm Arri Alura Fujinon Zoom T2.6,FALSE,0.78125,
Fujinon,Alura,15.5-45,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5-45mm Arri Alura Fujinon Zoom T2.8,FALSE,0.7878787879,
Cooke,Anamorphic,32,T2.3,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke Anamorphic 1.8x Lens T2.3,TRUE,0.3548387097,
Cooke,Anamorphic,40,T2.3,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke Anamorphic 1.8x Lens T2.3,TRUE,0.3548387097,
Cooke,Anamorphic,50,T2.3,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke Anamorphic 1.8x Lens T2.3,TRUE,0.3548387097,
Cooke,Anamorphic,75,T2.3,Prime,,,Anamorphic,1.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke Anamorphic 1.8x Lens T2.3,TRUE,0.3548387097,
Cooke,Anamorphic,25,T2.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Cooke Anamorphic Lens T2.3,TRUE,0.4074074074,
Cooke,Anamorphic,32,T2.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Cooke Anamorphic Lens T2.3,TRUE,0.4074074074,
Cooke,Anamorphic,40,T2.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Cooke Anamorphic Lens  T2.3,TRUE,0.4074074074,
Cooke,Anamorphic,50,T2.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Cooke Anamorphic Lens  T2.3,TRUE,0.4074074074,
Cooke,Anamorphic,75,T2.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Cooke Anamorphic Lens  T2.3,TRUE,0.4074074074,
Kowa,Anamorphic,32,T2.3,Prime,,,Anamorphic,,,CCI,,,,,,,,,,,,,,,,,,,,,,,,,32mm Kowa Anamorphic - CCI T2.3,TRUE,0.3846153846,
Kowa,Anamorphic,40,T2.3,Prime,,,Anamorphic,,,CCI,,,,,,,,,,,,,,,,,,,,,,,,,40mm Kowa Anamorphic - CCI T2.3,TRUE,0.3846153846,
Kowa,Anamorphic,50,T2.3,Prime,,,Anamorphic,,,CCI,,,,,,,,,,,,,,,,,,,,,,,,,50mm Kowa Anamorphic - CCI T2.3,TRUE,0.3846153846,
Kowa,Anamorphic,75,T2.8,Prime,,,Anamorphic,,,CCI,,,,,,,,,,,,,,,,,,,,,,,,,75mm Kowa Anamorphic - CCI T2.8,TRUE,0.3846153846,
Kowa,Anamorphic,100,T3.4,Prime,,,Anamorphic,,,CCI,,,,,,,,,,,,,,,,,,,,,,,,,100mm Kowa Anamorphic - CCI T3.4,TRUE,0.4074074074,
Proteus,Anamorphic,2,,Prime,S35,,Anamorphic,2x,,,,,,,,,,,,,,,,,,,,,,,,,,,Proteus 2x Squeeze S35 Anamorphic Prime,TRUE,0.3823529412,
TODD-AO,Anamorphic Prime,28,T3.9,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm TODD-AO Anamorphic Prime T3.9,TRUE,0.3666666667,
TODD-AO,Anamorphic Prime,50,T2.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm TODD-AO Anamorphic Prime T2.3,TRUE,0.3666666667,
TODD-AO,Anamorphic Prime,55,T1.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,55mm TODD-AO Anamorphic Prime T1.3,TRUE,0.3666666667,
TODD-AO,Anamorphic Prime,75,T2.5,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm TODD-AO Anamorphic Prime T2.5,TRUE,0.3666666667,
TODD-AO,Anamorphic Prime,75,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm TODD-AO Anamorphic Prime T2.2,TRUE,0.3666666667,
TODD-AO,Anamorphic Prime,85,T1.4,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,85mm Todd-AO Anamorphic Prime T1.4,TRUE,0.3666666667,
TODD-AO,Anamorphic Prime,100,T3.4,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Todd-AO Anamorphic Prime T3.4,TRUE,0.3870967742,
TODD-AO,Anamorphic Prime,200,T3.5,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,200mm TODD-AO Anamorphic Prime T3.5,TRUE,0.3870967742,
Xelmus,Apollo,40,T2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Xelmus Apollo Anamorphic T2,TRUE,0.5714285714,
Xelmus,Apollo,32,T2.0,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Xelmus Apollo Anamorphic T2.0,FALSE,0.6,
Xelmus,Apollo,50,T1.7,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Xelmus Apollo Anamorphic T1.7,FALSE,0.6,
Xelmus,Apollo,60,T1.6,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm Xelmus Apollo Anamorphic T1.6,FALSE,0.6,
Xelmus,Apollo,75,T2.0,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Xelmus Apollo Anamorphic T2.0,FALSE,0.6,
Xelmus,Apollo,135,T2.8,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Xelmus Apollo Anamorphic T2.8,FALSE,0.6129032258,
Xelmus,Apollo,100,T2.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Xelmus Apollo Anamorphic T2.3,FALSE,0.6129032258,
Xelmus,Apollo,135,T2.8,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Xelmus Apollo Anamorphic T2.8,FALSE,0.6129032258,
Dzofilm,Arles,14,T1.9,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,14mm DZOFilm Arles FF / VV Prime T1.9,FALSE,0.7666666667,
Dzofilm,Arles,21,T1.4,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,21mm DZOFilm Arles FF / VV Prime T1.4,FALSE,0.7666666667,
Dzofilm,Arles,25,T1.4,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm DZOFilm Arles FF / VV Prime T1.4,FALSE,0.7666666667,
Dzofilm,Arles,25,T1.5,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm DZOFilm Arles FF / VV Prime T1.5,FALSE,0.7666666667,
Dzofilm,Arles,25,T1.6,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm DZOFilm Arles FF / VV Prime T1.6,FALSE,0.7666666667,
Dzofilm,Arles,25,T1.7,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm DZOFilm Arles FF / VV Prime T1.7,FALSE,0.7666666667,
Dzofilm,Arles,25,T1.8,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm DZOFilm Arles FF / VV Prime T1.8,FALSE,0.7666666667,
Dzofilm,Arles,35,T1.4,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm DZOFilm Arles FF / VV Prime T1.4,FALSE,0.7666666667,
Dzofilm,Arles,40,T1.4,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm DZOFilm Arles FF / VV Prime T1.4,FALSE,0.7666666667,
Dzofilm,Arles,50,T1.4,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm DZOFilm Arles FF / VV Prime T1.4,FALSE,0.7666666667,
Dzofilm,Arles,75,T1.4,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm DZOFilm Arles FF / VV Prime T1.4,FALSE,0.7666666667,
Dzofilm,Arles,100,T1.4,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm DZOFilm Arles FF / VV Prime T1.4,FALSE,0.7741935484,
Dzofilm,Arles,135,T1.8,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm DZOFilm Arles FF / VV Prime T1.8,FALSE,0.7741935484,
Dzofilm,Arles,180,T2.4,Prime,FF,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm DZOFilm Arles FF / VV Prime T2.4,FALSE,0.7741935484,
Tribe7,Blackwing7,17,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,17mm Tribe7 Blackwing7 Production (T) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,27mm Tribe7 Blackwing7 Production (T) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,37mm Tribe7 Blackwing7 Production (T) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,47mm Tribe7 Blackwing7 Production (T) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,57mm Tribe7 Blackwing7 Production (T) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,77mm Tribe7 Blackwing7 Production (T) T1.8,TRUE,0.3513513514,
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,27mm Tribe7 Blackwing7 Production (S) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,37mm Tribe7 Blackwing7 Production (S) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,47mm Tribe7 Blackwing7 Production (S) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,57mm Tribe7 Blackwing7 Production (S) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,77mm Tribe7 Blackwing7 Production (S) T1.8,TRUE,0.3513513514,
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,27mm Tribe7 Blackwing7 Production (B) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,37mm Tribe7 Blackwing7 Production (B) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,47mm Tribe7 Blackwing7 Production (B) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,57mm Tribe7  Blackwing7 Production (B) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,77mm Tribe7 Blackwing7 Production (B) T1.8,TRUE,0.3513513514,
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,27mm Tribe7 Blackwing7 Production (X) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,37mm Tribe7 Blackwing7 Production (X) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,47mm Tribe7 Blackwing7 Production (X) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,57mm Tribe7  Blackwing7 Production (X) T1.9,TRUE,0.3513513514,
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,77mm Tribe7 Blackwing7 Production (X) T1.8,TRUE,0.3513513514,
Tribe7,Blackwing7,137,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,137mm Tribe7 Blackwing7 Production (XT) T2,TRUE,0.3513513514,
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,107mm Tribe7 Blackwing7 Production (T) T1.8,TRUE,0.3684210526,
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,107mm Tribe7 Blackwing7 Production (S) T1.8,TRUE,0.3684210526,
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,107mm Tribe7 Blackwing7 Production (B) T1.8,TRUE,0.3684210526,
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,107mm Tribe7  Blackwing7 Production (X) T1.8,TRUE,0.3684210526,
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,27mm Tribe7 Blackwing7 Production (XT) T1.9,TRUE,0.3684210526,
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,37mm Tribe7 Blackwing7 Production (XT) T1.9,TRUE,0.3684210526,
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,47mm Tribe7 Blackwing7 Production (XT) T1.9,TRUE,0.3684210526,
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,57mm Tribe7 Blackwing7 Production (XT) T1.9,TRUE,0.3684210526,
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,77mm Tribe7 Blackwing7 Production (XT) T1.8,TRUE,0.3684210526,
Tribe7,Blackwing7,137,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,137mm Tribe7 Blackwing7 Binary (T) T2,TRUE,0.375,
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,20.7mm Tribe7 Blackwing7 Production (T) T1.9,TRUE,0.3846153846,
Tribe7,Blackwing7,23.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,23.7mm Tribe7 Blackwing7 Production (T) T1.9,TRUE,0.3846153846,
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,20.7mm Tribe7 Blackwing7 Production (S) T1.9,TRUE,0.3846153846,
Tribe7,Blackwing7,23.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,23.7mm Tribe7 Blackwing7 Production (S) T1.9,TRUE,0.3846153846,
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,20.7mm  Tribe7 Blackwing7 Production (B) T1.9,TRUE,0.3846153846,
Tribe7,Blackwing7,23.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,23.7mm  Tribe7 Blackwing7 Production (B) T1.9,TRUE,0.3846153846,
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,20.7mm Tribe7 Blackwing7 Production (X) T1.9,TRUE,0.3846153846,
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,107mm Tribe7 Blackwing7 Production (XT) T1.8,TRUE,0.3846153846,
Tribe7,Blackwing7,17,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,17mm Tribe7 Blackwing7 Binary (T) T1.9,TRUE,0.3939393939,
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,27mm Tribe7 Blackwing7 Binary (T) T1.9,TRUE,0.3939393939,
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,47mm Tribe7 Blackwing7 Binary (T) T1.9,TRUE,0.3939393939,
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,ST,,,,,,,,20.7mm Tribe7 Blackwing7 Production (ST) T1.9,TRUE,0.4,
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,20.7mm Tribe7 Blackwing7 Production (XT) T1.9,TRUE,0.4,
Hawk,C-Series,100,T3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Hawk C-Series Anamorphic T3,TRUE,0.3103448276,
Hawk,C-Series,30,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,30mm Hawk C-Series Anamorphic T2.2,TRUE,0.3333333333,
Hawk,C-Series,40,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Hawk C-Series Anamorphic T2.2,TRUE,0.3333333333,
Hawk,C-Series,50,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Hawk C-Series Anamorphic T2.2,TRUE,0.3333333333,
Hawk,C-Series,60,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm Hawk C-Series Anamorphic T2.2,TRUE,0.3333333333,
Hawk,C-Series,75,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Hawk C-Series Anamorphic T2.2,TRUE,0.3333333333,
Hawk,C-Series,135,T3.0,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Hawk C-Series Anamorphic T3.0,TRUE,0.3548387097,
Fujinon,Cabrio,14-35,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-35mm Fujinon Cabrio Zoom T2.9,FALSE,0.8928571429,
Fujinon,Cabrio,19-90,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-90mm Fujinon Cabrio Zoom T2.9,FALSE,0.8928571429,
Fujinon,Cabrio,20-120,T3.5,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-120mm Fujinon Cabrio Zoom T3.5,FALSE,0.8965517241,
Fujinon,Cabrio,25-300,T3.5,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-300mm Fujinon Cabrio Zoom T3.5,FALSE,0.8965517241,
Fujinon,Cabrio,85-300,T2.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,85-300mm Fujinon Cabrio Zoom T2.9,FALSE,0.8965517241,
Caldwell,Chameleon SC/XC,75,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm/112mm Caldwell Chameleon SC/XC - Rear Expander,TRUE,0.5111111111,
Caldwell,Chameleon SC/XC,100,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm/150mm Caldwell Chameleon SC/XC - Rear Expander,TRUE,0.5217391304,
Caldwell,Chameleon SC/XC,32,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm/48mm Caldwell Chameleon SC/XC - Rear Expander,TRUE,0.5227272727,
Caldwell,Chameleon SC/XC,40,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm/60mm Caldwell Chameleon SC/XC - Rear Expander,TRUE,0.5227272727,
Caldwell,Chameleon SC/XC,50,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm/75mm Caldwell Chameleon SC/XC - Rear Expander,TRUE,0.5227272727,
Caldwell,Chameleon SC/XC,60,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm/90mm Caldwell Chameleon SC/XC - Rear Expander,TRUE,0.5227272727,
Caldwell,Chameleon SC/XC,75,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm/112mm Caldwell Chameleon SC/XC - Front,FALSE,0.6052631579,
Caldwell,Chameleon SC/XC,100,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm/150mm Caldwell Chameleon SC/XC - Front,FALSE,0.6153846154,
Caldwell,Chameleon SC/XC,32,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm/48mm Caldwell Chameleon SC/XC - Front,FALSE,0.6216216216,
Caldwell,Chameleon SC/XC,40,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm/60mm Caldwell Chameleon SC/XC - Front,FALSE,0.6216216216,
Caldwell,Chameleon SC/XC,50,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm/75mm Caldwell Chameleon SC/XC - Front,FALSE,0.6216216216,
Caldwell,Chameleon SC/XC,60,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm/90mm Caldwell Chameleon SC/XC - Front,FALSE,0.6216216216,
Caldwell,Chameleon UW SC,32,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Caldwell Chameleon UW SC Series T2.0,FALSE,0.7714285714,
Caldwell,Chameleon UW SC,40,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Caldwell Chameleon UW SC Series T2.0,FALSE,0.7714285714,
Caldwell,Chameleon XC,48,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,48mm Caldwell Chameleon XC - Rear Expander,TRUE,0.5833333333,
Caldwell,Chameleon XC,150,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mm Caldwell Chameleon XC - Rear Expander,TRUE,0.5945945946,
Caldwell,Chameleon XC,150,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mm Caldwell Chameleon XC - Front,FALSE,0.7333333333,
Caldwell,Chameleon XC,150,T4.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mm Caldwell Chameleon XC Series T4.0,FALSE,0.7647058824,
Ironglass,CINE BLUE FLARE,58,F2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,58mm IronGlass CINE BLUE FLARE F2,FALSE,0.9285714286,
Ironglass,CINE BLUE FLARE,85,F2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,85mm IronGlass CINE BLUE FLARE F2,FALSE,0.9285714286,
Ironglass,CINE BLUE FLARE,20,F3.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,20mm IronGlass CINE BLUE FLARE F3.5,FALSE,0.9333333333,
Ironglass,CINE BLUE FLARE,28,F3.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,28mm IronGlass CINE BLUE FLARE F3.5,FALSE,0.9333333333,
Ironglass,CINE BLUE FLARE,37,F2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,37mm IronGlass CINE BLUE FLARE F2.8,FALSE,0.9333333333,
Ironglass,CINE BLUE FLARE,135,F2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,135mm IronGlass CINE BLUE FLARE F2.8,FALSE,0.935483871,
