Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original Name,Needs Review,Confidence Score
Angenieux,Optimo DP,16-42,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-42mm Angenieux Optimo DP T2.8,False,0.8928571428571429
Angenieux,Optimo DP,30-80,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-80mm Angenieux Optimo DP T2.8,False,0.8928571428571429
Angenieux,Optimo Prime,18,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo Prime,21,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,21mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo Prime,24,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo Prime,28,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo Prime,32,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo Prime,40,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo Prime,50,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo Prime,60,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo Prime,75,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm Angenieux Optimo Prime T1.8,False,1.0
Angenieux,Optimo,19.5-94,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5-94mm Angenieux Optimo T2.6,False,0.8928571428571429
Angenieux,,25-250,T3.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,Vintage,,,,,,25-250mm Angenieux Vintage  T3.9,False,0.6428571428571429
Angenieux,Optimo,24-290,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-290mm Angenieux Optimo T2.8,False,0.8888888888888888
Angenieux,Optimo,28-340,T3.2,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-340mm Angenieux Optimo T3.2,False,0.8888888888888888
Angenieux,Optimo,29-351,T3.5,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-351mm Angenieux Optimo T3.5,False,0.8888888888888888
