,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
,,35mm,f/3.5,,,,,LPL,,NO,,,No,N/A,2024,Not currently in inventory
,,80mm,f/2.8,,,,,LPL,,NO,,,No,N/A,2024,Not currently in inventory
,,90mm,f/2.8,,,,,LPL,,NO,,,No,N/A,2024,Not currently in inventory
,,120mm,f/2.8,,,,,LPL,,NO,,,No,N/A,2024,Not currently in inventory
,,150mm,f/2.8,,,,,LPL,,NO,,,No,N/A,2024,Not currently in inventory
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
Leitz,Thalia,24mm,3.6,"1' 4""",3.13 lbs,"4.9""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,,
,,30mm,2.9,"1' 8""",3.3 lbs,"5.2""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,2017,
,,35mm,2.6,"1' 10""",3.1lbs,"5.2""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,2017,
,,45mm,2.9,2',3.2 lbs,"5.2""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,2017,
,,55mm,2.8,"2' 4""",3.61 lbs,"6.1""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,,
,,70mm,2.6,"1' 8""",2.3 lbs,"4.9""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,2017,
,,90mm -T,2.2,3',2.3 lbs,"4.9""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,,"This is a specialty lens that does not match the rest of the set. This is more of a portrait style lens, and exhibits unique effects from the rest of the set."
