Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale
zeiss,master prime,18,1.3,prime,,pl,spherical,,,,114,14,6,35mm ok,33.5,9,"ibe 1.4x, ibe 2x",yes,,,,5,2005,,,,,,,,,,,
zeiss,master prime,21,1.3,prime,,pl,spherical,,,,114,14,6.2,35mm ok,35,9,"ibe 1.4x, ibe 2x",yes,,,,5.3,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,25,1.3,prime,,pl,spherical,,,,114,14,6,35mm ok,35,9,"ibe 1.4x, ibe 2x",yes,,,,5.1,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,27,1.3,prime,,pl,spherical,,,,114,14,6.2,35mm ok,35,9,"ibe 1.4x, ibe 2x",yes,,,,4.8,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,32,1.3,prime,,pl,spherical,,,,114,14,6,35mm ok,36.5,9,"ibe 1.4x, ibe 2x",yes,,,,5.1,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,35,1.3,prime,,pl,spherical,,,,114,14,6,35mm ok,40,9,"ibe 1.4x, ibe 2x",yes,,,,4.8,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,40,1.3,prime,,pl,spherical,,,,114,16,6,35mm ok,39,9,"ibe 1.4x, ibe 2x",yes,,,,5.1,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,50,1.3,prime,,pl,spherical,,,,114,20,6,35mm ok,43,9,"ibe 1.4x, ibe 2x",yes,,,,5.9,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,65,1.3,prime,,pl,spherical,,,,114,2 3,6.2,35mm ok,43,9,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",yes,,,,5.7,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,75,1.3,prime,,pl,spherical,,,,114,2 9,6,35mm ok,43,9,"ibe 1.4x, ibe 2x, ang 2x",yes,,,,6,2005,duclos 1.7x,,,,,,,,,,
zeiss,master prime,100,1.3,prime,,pl,spherical,,,,114,3 6,6,35mm ok,43,9,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, optex 2x",yes,,,,6.2,2005,,,,,,,,,,,
