Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale
vantage,hawk c-series,60,2.2,prime,super 35,pl,anamorphic,2x,,,110,3 6,6 - 6.5,35mm ok,35,12,,no,,,,4.7,,duclos 1.7x,,,"gen 1, telescoping and rotating front / vintage",,,,,,,
vantage,hawk c-series,75,2.2,prime,super 35,pl,anamorphic,2x,,,110,3 6,6.8 - 7.4,35mm ok,38,8,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",no,,,attached to lens,5,,duclos 1.7x,,,"gen 1, telescoping and rotating front / vintage",,,,,,,
vantage,hawk c-series,100,3,prime,super 35,pl,anamorphic,2x,,,110,3 6,8 - 8.6,35mm ok,41,16,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",no,,,attached to lens,6,,duclos 1.7x,,,"gen 1, telescoping and rotating front / vintage",,,,,,,
vantage,hawk c-series,135,3,prime,super 35,pl,anamorphic,2x,,,110,3 6,12,35mm ok,41,15,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",no,,,attached to lens,12,,duclos 1.7x,,,"gen 1, non-telescoping front / looks a lot like v-series 135mm",,,,,,,
vantage,hawk v-series,25,2.2,prime,super 35,pl,anamorphic,2x,,,142,3 6,4.5,35mm ok,29,14,,no,,,,6.2,,,,,gen 2,,,,,,,
vantage,hawk v-series,30,2.2,prime,super 35,pl,anamorphic,2x,,,156,2 8,7.4,35mm ok,,,,no,,,,11.5,,,,,gen 2,,,,,,,
vantage,hawk v-series,35,2.2,prime,super 35,pl,anamorphic,2x,,,156,3,6.7,35mm ok,30,12,"ang 1.4x, ibe 1.4x, ibe 2x",no,,,attached to lens,11.8,,,,,gen 2,,,,,,,
vantage,hawk v-series,40,2.2,prime,super 35,pl,anamorphic,2x,,,156,2 6,8,35mm ok,,,,no,,,,13.6,,,,,gen 2,,,,,,,
vantage,hawk v-series,50,2.2,prime,super 35,pl,anamorphic,2x,,,125,2,7.1,35mm ok,32,12,,no,,,attached to lens,8.1,,,,,gen 2,,,,,,,
vantage,hawk v-series,60,2.2,prime,super 35,pl,anamorphic,2x,,,125,2,7.6,35mm ok,32,11,"ibe 1.4x, ibe 2x",no,,,attached to lens,8.8,,,,,gen 2,,,,,,,
vantage,hawk v-series,75,2.2,prime,super 35,pl,anamorphic,2x,,,125,2,9.4,35mm ok,,,,no,,,,10.1,,,,,gen 2,,,,,,,
vantage,hawk v-series,100,2.2,prime,super 35,pl,anamorphic,2x,,,125,3 6,12.2,35mm ok,36,12,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",no,,,attached to lens,12.2,,,,,gen 2,,,,,,,
vantage,hawk v-series,135,3,prime,super 35,pl,anamorphic,2x,,,125,3 6,12.2,35mm ok,37 clear / 41 with falloff,15,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",no,,,attached to lens,14,,,,,gen 2,,,,,,,
vantage,hawk v-series,180,3,prime,super 35,pl,anamorphic,2x,,,142,6 6,15.5,35mm ok,39 clear / 42 with falloff,15,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",no,,,attached to lens,16.5,,,,,gen 2,,,,,,,
vantage,hawk v-series,250,3,prime,super 35,pl,anamorphic,2x,,,142,6 6,17.6,35mm ok,41 clear / 43 with falloff,15,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",no,,,attached to lens,17,,,,,gen 2,,,,,,,
vantage,hawk v-series,350,4.2,prime,super 35,pl,anamorphic,2x,,,142,6 6,19.1,35mm ok,,,,no,,,,18.5,,,,,gen 2,,,,,,,
vantage,hawk v-plus,35,2.2,prime,super 35,pl,anamorphic,2x,,,156,2 6,7.4,35mm ok,,,,no,,,,11.7,,,,,gen 3,,,,,,,
vantage,hawk v-plus,40,2.2,prime,super 35,pl,anamorphic,2x,,,156,2 6,8,35mm ok,,,,no,,,,12.1,,,,,gen 3,,,,,,,
vantage,hawk v-plus,50,2.2,prime,super 35,pl,anamorphic,2x,,,125,2,8,35mm ok,,,,no,,,,8.1,,,,,gen 3,,,,,,,
vantage,hawk v-plus,65,3,prime,super 35,pl,anamorphic,2x,,,125,1 3,9.25,35mm ok,32,14,"ibe 1.4x, ibe 2x",no,,,,9.5,,,,,"gen 3, drop-in filter size: 48mm (can stack 2) / ; macro",,,,,,,
vantage,hawk v-plus,75,2.2,prime,super 35,pl,anamorphic,2x,,,125,2,9.4,35mm ok,,,,no,,,,9.5,,,,,gen 3,,,,,,,
vantage,hawk v-plus,85,2.2,prime,super 35,pl,anamorphic,2x,,,125,2,9.8,35mm ok,,,,no,,,,9.7,,,,,gen 3,,,,,,,
vantage,hawk v-plus,100,2.2,prime,super 35,pl,anamorphic,2x,,,125,3 3,12.8,35mm ok,,,,no,,,,12.3,,,,,gen 3,,,,,,,
vantage,hawk v-plus,120,3.5,prime,super 35,pl,anamorphic,2x,,,125,1 5,13.1,35mm ok,,,,no,,,,12.3,,,,,gen 3; macro,,,,,,,
vantage,hawk v-plus,135,3,prime,super 35,pl,anamorphic,2x,,,125,3 3,12.8,35mm ok,,,,no,,,,11.9,,,,,gen 3,,,,,,,
vantage,hawk v-plus,150,3,prime,super 35,pl,anamorphic,2x,,,125,3 3,12.8,35mm ok,,,,no,,,,11.7,,,,,gen 3,,,,,,,
vantage,hawk v-lite,28,2.2,prime,super 35,pl,anamorphic,2x,,,120,2 9,4.6,35mm ok,29,12,"ibe 1.4x, ibe 2x",no,,,,4.6,,duclos 1.7x,,,gen 4,,,,,,,
vantage,hawk v-lite,35,2.2,prime,super 35,pl,anamorphic,2x,,,120,3 6,6,35mm ok,30,12,"ibe 1.4x, ibe 2x",no,,,,6.2,,duclos 1.7x,,,gen 4,,,,,,,
vantage,hawk v-lite,45,2.2,prime,super 35,pl,anamorphic,2x,,,104,3 6,5.2,35mm ok,32,12,,no,,,,4.4,,,,,gen 4,,,,,,,
vantage,hawk v-lite,55,2.2,prime,super 35,pl,anamorphic,2x,,,104,3 6,5.4,35mm ok,33,12,"ibe 1.4x, ibe 2x",no,,,,4.6,,duclos 1.7x,,,gen 4,,,,,,,
vantage,hawk v-lite,65,2.2,prime,super 35,pl,anamorphic,2x,,,104,3 6,5.8,35mm ok,36,12,"ibe 1.4x, ibe 2x",no,,,,4.8,,duclos 1.7x,,,gen 4,,,,,,,
vantage,hawk v-lite,80,2.2,prime,super 35,pl,anamorphic,2x,,,104,3 6,6.5,35mm ok,37,11,"ibe 1.4x, ibe 2x",no,,,,5.2,,duclos 1.7x,,,gen 4,,,,,,,
vantage,hawk v-lite,110,3,prime,super 35,pl,anamorphic,2x,,,104,3 6,7.25,35mm ok,36 clear / 43 with falloff,15,"ibe 1.4x, ibe 2x",no,,,,5.8,,duclos 1.7x,,,gen 4,,,,,,,
vantage,hawk v-lite,140,3.5,prime,super 35,pl,anamorphic,2x,,,104,3 6,8.2,35mm ok,36 clear / 43 with falloff,15,"ibe 1.4x, ibe 2x",no,,,,6.4,,duclos 1.7x,,,gen 4,,,,,,,
vantage,hawk v-lite vintage '74,28,2.3,prime,super 35,pl,anamorphic,2x,,,120,2 9,4.6,35mm ok,29,12,"ibe 1.4x, ibe 2x",no,,,,4.8,,duclos 1.7x,,,,,,,,,,
vantage,hawk v-lite vintage '74,35,2.3,prime,super 35,pl,anamorphic,2x,,,120,3 6,6,35mm ok,30,12,"ibe 1.4x, ibe 2x",no,,,,6.6,,duclos 1.7x,,,,,,,,,,
vantage,hawk v-lite vintage '74,45,2.3,prime,super 35,pl,anamorphic,2x,,,104,3 6,5.2,35mm ok,32,12,,no,,,,4.6,,,,,,,,,,,,
vantage,hawk v-lite vintage '74,55,2.3,prime,super 35,pl,anamorphic,2x,,,104,3 6,5.4,35mm ok,33,12,"ibe 1.4x, ibe 2x",no,,,,4.8,,duclos 1.7x,,,,,,,,,,
vantage,hawk v-lite vintage '74,65,2.3,prime,super 35,pl,anamorphic,2x,,,104,3 6,5.8,35mm ok,36,12,"ibe 1.4x, ibe 2x",no,,,,5,,duclos 1.7x,,,,,,,,,,
vantage,hawk v-lite vintage '74,80,2.3,prime,super 35,pl,anamorphic,2x,,,104,3 6,6.5,35mm ok,37,11,"ibe 1.4x, ibe 2x",no,,,,5.6,,duclos 1.7x,,,,,,,,,,
vantage,hawk v-lite vintage '74,110,3.1,prime,super 35,pl,anamorphic,2x,,,104,3 6,7.25,35mm ok,36 clear / 43 with falloff,15,"ibe 1.4x, ibe 2x",no,,,,6.2,,duclos 1.7x,,,,,,,,,,
vantage,hawk v-lite vintage '74,140,3.7,prime,super 35,pl,anamorphic,2x,,,104,3 6,8.2,35mm ok,36 clear / 43 with falloff,15,"ibe 1.4x, ibe 2x",no,,,,6.6,,duclos 1.7x,,,,,,,,,,
vantage,hawk v-lite 1.3x,20,2.2,prime,super 35,pl,anamorphic,1.3x,,,142,2,5.7,35mm ok,,,,no,,,,5.5,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,24,2.2,prime,super 35,pl,anamorphic,1.3x,,,120,2,5.7,35mm ok,,,,no,,,,5.5,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,28,2.2,prime,super 35,pl,anamorphic,1.3x,,,120,2 7,5.4,35mm ok,,,,no,,,,5,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,35,2.2,prime,super 35,pl,anamorphic,1.3x,,,120,3 6,5.9,35mm ok,33,12,"ibe 1.4x, ibe 2x",no,,,,6.2,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,45,2.2,prime,super 35,pl,anamorphic,1.3x,,,104,3 3,6,35mm ok,,,,no,,,,4.2,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,55,2.2,prime,super 35,pl,anamorphic,1.3x,,,104,3 3,6.1,35mm ok,,,,no,,,,4.4,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,65,2.2,prime,super 35,pl,anamorphic,1.3x,,,104,3 3,6.3,35mm ok,,,,no,,,,4.4,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,80,2.2,prime,super 35,pl,anamorphic,1.3x,,,104,3 6,6.5,35mm ok,38,11,"ibe 1.4x, ibe 2x",no,,,,5.2,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,110,3,prime,super 35,pl,anamorphic,1.3x,,,104,3 6,7.25,35mm ok,36 clear / 43 with falloff,15,"ibe 1.4x, ibe 2x",no,,,,5.8,,,,,1.3x /,,,,,,,
vantage,hawk v-lite 1.3x,140,3.5,prime,super 35,pl,anamorphic,1.3x,,,104,3 6,8.2,35mm ok,37 clear / 43 with falloff,15,"ibe 1.4x, ibe 2x",no,,,,6.4,,,,,1.3x /,,,,,,,
vantage,mini hawk,35,1.7,prime,super 35,pl,spherical,,,,110,12,5.4,,29 clear / 30 with falloff,oval iris,"ibe 1.4x, ibe 2x",no,,,,4.4,,1.7x duclos (t4 or deeper),,,"works with duclos expander, but requires lens to be shot at t4 or deeper in order to reduce optical abberation.",,,,,,,
vantage,mini hawk,40,1.7,prime,super 35,pl,spherical,,,,110,12,5.7,,30 clear / 32 with falloff,oval iris,"ibe 1.4x, ibe 2x",no,,,,4,,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,mini hawk,50,1.7,prime,super 35,pl,spherical,,,,110,10,5.1,,32 clear / 33 with fall of,oval iris,"ibe 1.4x, ibe 2x",no,,,,3.3,,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,mini hawk,65,1.7,prime,super 35,pl,spherical,,,,110,10,4.5,,35,oval iris,"ibe 1.4x, ibe 2x",no,,,,4,,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,mini hawk,80,1.7,prime,super 35,pl,spherical,,,,110,1 3,5.1,,33 clear /  35 with fall of,oval iris,"ibe 1.4x, ibe 2x",no,,,,3.3,,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,mini hawk,100,1.7,prime,super 35,pl,spherical,,,,110,1,5.1,,35 clear / 38 with fall of,oval iris,"ibe 1.4x, ibe 2x",no,,,,3.5,,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,mini hawk,135,1.7,prime,super 35,pl,spherical,,,,110,1 6,4.5,,40,oval iris,"ibe 1.4x, ibe 2x",no,,,,3.5,,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,mini hawk,180,1.7,prime,super 35,pl,spherical,,,,128,2’,5.9,,40 clear / 45 with fall of,oval iris,"ibe 1.4x, ibe 2x",no,,,,4.2,,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,one,17.5,1,prime,super 35,pl,spherical,,,,110,1,5.3,,30,12,"ibe 1.4x, ibe 2x, ang 2x",no,,,,4.4,2014,1.7x duclos (t4 or deeper),,,"works with duclos expander, but requires lens to be shot at t4 or deeper in order to reduce optical abberation.",,,,,,,
vantage,one,21,1,prime,super 35,pl,spherical,,,,110,1,5,,32,12,"ibe 1.4x, ibe 2x, ang 2x",no,,,,4,2014,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,one,25,1,prime,super 35,pl,spherical,,,,110,1,4.3,,33,12,"ibe 1.4x, ibe 2x, ang 2x",no,,,,3.5,2014,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,one,32,1,prime,super 35,pl,spherical,,,,110,1,4.5,,35,12,"ibe 1.4x, ibe 2x, ang 2x",no,,,,4,2014,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,one,40,1,prime,super 35,pl,spherical,,,,110,1 3,4.3,,35,14,"ibe 1.4x, ibe 2x",no,,,,3.3,2014,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,one,50,1,prime,super 35,pl,spherical,,,,110,1,4.3,,38,14,"ibe 1.4x, ibe 2x, ang 2x",no,,,,3.1,2014,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,one,65,1,prime,super 35,pl,spherical,,,,110,1 6,4.3,,41,16,"ibe 1.4x, ibe 2x, ang 2x",no,,,,3.5,2014,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,one,90,1,prime,super 35,pl,spherical,,,,128,2,4.5,,43,12,"ibe 1.4x, ibe 2x",no,,,,4.3,2014,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,one,120,1,prime,super 35,pl,spherical,,,,156,2 9,7.2,,43,18,"ibe 1.4x, ibe 2x, ang 2x",no,,,attached to lens,8,2014,1.7x duclos (t4 or deeper),,,,,,,,,,
vantage,mini hawk,160-360,4,zoom,super 35,pl,spherical,,,,125,3 3,10.25,,,,,no,,,,6.4,,,n/a (no bracket),,2x /,,,,,,,
tribe,"blackwing7
(production & binary)",57,1.9*,prime,65mm,pl,spherical,,,,104,19”,4.5”,,60,14,,no,,,,3.5,2020,,,,,,,,,,,
tribe,"blackwing7
(production & binary)",77,1.9*,prime,65mm,pl,spherical,,,,104,26”,4.5”,,60,14,,no,,,,3.0,2020,,,,,,,,,,,
tribe,"blackwing7
(production & binary)",107,1.9*,prime,65mm,pl,spherical,,,,104,29”,4.5”,,62,14,,no,,,,3.2,2020,,,,,,,,,,,
tribe,"blackwing7
(production & binary)",137,1.9*,prime,65mm,pl,spherical,,,,104,32”,4.5”,,62,14,,no,,,,3.2,2020,,,,,,,,,,,
tribe,ezana,17,2.4,prime,65mm,pl,spherical,,,,104,8.7,,,55,14,,no,,,,3.8,2024,,,,. 17mm will not cover full open gate on alexa 65.,,,,,,,
tribe,ezana,20.7,2.4,prime,65mm,pl,spherical,,,,104,9,,,55,14,,no,,,,3.2,2024,,,,. 20.7mm will not cover full open gate on alexa 65.,,,,,,,
tribe,ezana,23.7,2.4,prime,65mm,pl,spherical,,,,104,10.3,,,55,14,,no,,,,3.2,2024,,,,. 23.7mm will not cover full open gate on alexa 65.,,,,,,,
tribe,ezana,27,2.4,prime,65mm,pl,spherical,,,,104,13,,,55,14,,no,,,,3.6,2024,,,,. 27mm will not cover full open gate on alexa 65.,,,,,,,
tribe,ezana,37,2.4,prime,65mm,pl,spherical,,,,104,18,,,60,14,,no,,,,3.4,2024,,,,,,,,,,,
tribe,ezana,47,2.4,prime,65mm,pl,spherical,,,,104,17.5,,,60,14,,no,,,,3.2,2024,,,,,,,,,,,
tribe,ezana,57,2.4,prime,65mm,pl,spherical,,,,104,19,,,60,14,,no,,,,3.5,2024,,,,,,,,,,,
tribe,ezana,77m,2.4,prime,65mm,pl,spherical,,,,104,26,,,60,14,,no,,,,3.0,2024,,,,,,,,,,,
tribe,ezana,107,2.4,prime,65mm,pl,spherical,,,,104,27,,,60,14,,no,,,,3.2,2024,,,,,,,,,,,
tribe,ezana,137,2.4,prime,65mm,pl,spherical,,,,104,32,,,60,14,,no,,,,3.2,2024,,,,,,,,,,,
tribe,ezana,,,,65mm,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tribe,ezana,,,,65mm,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tribe,ezana,,,,65mm,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",20.7,1.9*,prime,full frame,pl,spherical,,,,104,7.5,4.5”,,53,14,,no,,,,3.6,2020,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",23.7,1.9,prime,full frame,pl,spherical,,,,104,14,4.5,,53,14,,no,,,,3.25,2020,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",27,1.9*,prime,full frame,pl,spherical,,,,104,13,4.5”,,53,14,,no,,,,3.6,2020,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",37,1.9*,prime,full frame,pl,spherical,,,,104,18”,4.5”,,57,14,,no,,,,3.4,2020,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",47,1.9*,prime,full frame,pl,spherical,,,,104,17.5”,4.5”,,57,14,,no,,,,3.2,2020,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",57,1.9*,prime,full frame,pl,spherical,,,,104,19”,4.5”,,60,14,,no,,,,3.5,2020,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",77,1.9*,prime,full frame,pl,spherical,,,,104,26”,4.5”,,60,14,,no,,,,3.0,2020,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",107,1.9*,prime,full frame,pl,spherical,,,,104,29”,4.5”,,62,14,,no,,,,3.2,2020,,,,,,,,,,,
tribe,"blackwing7
(production, binary & skin module)",137,1.9*,prime,full frame,pl,spherical,,,,104,32”,4.5”,,62,14,,no,,,,3.2,2020,,,,,,,,,,,
tokina,vista primes,18,1.5,prime,full frame,pl,spherical,,,,114,17.7,7.17,,46.7,9,,no,,,,6.19,2019,,,,,,,,,,,
tokina,vista primes,21,1.5,prime,full frame,pl,spherical,,,,114,14,6.4,,46.7,9,,no,,,,5.42,2019,,,,,,,,,,,
tokina,vista primes,25,1.5,prime,full frame,pl,spherical,,,,114,13.8,5.55,,46.7,9,,no,,,,5.11,2019,,,,,,,,,,,
tokina,vista primes,29,1.5,prime,full frame,pl,spherical,,,,114,14,6.5,,46.7,9,,no,,,,5.25,2019,,,,,,,,,,,
tokina,vista primes,35,1.5,prime,full frame,pl,spherical,,,,114,16,5.15,,46.7,9,,no,,,,4.59,2019,,,,,,,,,,,
tokina,vista primes,40,1.5,prime,full frame,pl,spherical,,,,114,17.7,4.48,,46.7,9,,no,,,,5.22,2019,,,,,,,,,,,
tokina,vista primes,50,1.5,prime,full frame,pl,spherical,,,,114,19,5.71,,46.7,9,,no,,,,4.94,2019,,,,,,,,,,,
tokina,vista primes,65,1.5,prime,full frame,pl,spherical,,,,114,2 3,6.3,,46.7,9,,no,,,,5.34,2019,,,,,,,,,,,
tokina,vista primes,85,1.5,prime,full frame,pl,spherical,,,,114,37.5,5.7,,46.7,9,,no,,,,5.05,2019,,,,,,,,,,,
tokina,vista primes,100,2.9,prime,full frame,pl,spherical,,,,95,11.9,5.83,,46.7,9,,no,,,,2.88,2024,,,,macro,,,,,,,
tokina,vista primes,105,1.5,prime,full frame,pl,spherical,,,,114,3 9,6.34,,46.7,9,,no,,,,5.93,2019,,,,,,,,,,,
tokina,vista primes,135,1.5,prime,full frame,pl,spherical,,,,114,4 7,7.36,,46.7,9,,no,,,,6.88,2019,,,,,,,,,,,
tokina,vista primes,180,1.9,prime,full frame,pl,spherical,,,,114,4 11,7.7,,46.7,9,,no,,,,7.47,2022,,,,,,,,,,,
tokina,vista one primes,18,1.5,prime,full frame,pl,spherical,,,,114,17.7,7.17,,46.7,9,,no,,,,6.19,2019,,,,single coated version of the vista primes,,,,,,,
tokina,vista one primes,21,1.5,prime,full frame,pl,spherical,,,,114,14,6.4,,46.7,9,,no,,,,5.42,2019,,,,,,,,,,,
tokina,vista one primes,25,1.5,prime,full frame,pl,spherical,,,,114,13.8,5.55,,46.7,9,,no,,,,5.11,2019,,,,,,,,,,,
tokina,vista one primes,29,1.5,prime,full frame,pl,spherical,,,,114,14,6.5,,46.7,9,,no,,,,5.25,2019,,,,,,,,,,,
tokina,vista one primes,35,1.5,prime,full frame,pl,spherical,,,,114,16,5.15,,46.7,9,,no,,,,4.59,2019,,,,,,,,,,,
tokina,vista one primes,40,1.5,prime,full frame,pl,spherical,,,,114,17.7,4.48,,46.7,9,,no,,,,5.22,2019,,,,,,,,,,,
tokina,vista one primes,50,1.5,prime,full frame,pl,spherical,,,,114,19,5.71,,46.7,9,,no,,,,4.94,2019,,,,,,,,,,,
tokina,vista one primes,65,1.5,prime,full frame,pl,spherical,,,,114,2 3,6.3,,46.7,9,,no,,,,5.34,2019,,,,,,,,,,,
tokina,vista one primes,85,1.5,prime,full frame,pl,spherical,,,,114,37.5,5.7,,46.7,9,,no,,,,5.05,2019,,,,,,,,,,,
tokina,vista one primes,105,1.5,prime,full frame,pl,spherical,,,,114,3 9,6.34,,46.7,9,,no,,,,5.93,2019,,,,,,,,,,,
tokina,vista one primes,135,1.5,prime,full frame,pl,spherical,,,,114,4 7,7.36,,46.7,9,,no,,,,6.88,2019,,,,,,,,,,,
tokina,vista one primes,180,1.9,prime,full frame,pl,spherical,,,,114,4 11,7.7,,46.7,9,,no,,,,7.47,2022,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista one primes,,,,full frame,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokina,vista mkii zoom,16-28,3,zoom,full frame,pl,spherical,,,,114,11,5.6,,46.7,9,,,no,,,3.85,,,,,,,,,,,,
tokina,cinema,11-20,2.9,zoom,super 35,pl,spherical,,,,95,11,3.92,,30,9,,no,,,,2.43,,,,,,,,,,,,
tokina,cinema,25-75,2.9,zoom,super 35,pl,spherical,,,,95,2.43,6.83,,36,9,,no,,,,5.69,,,,,,,,,,,,
tokina,cinema,50-135,2.9,zoom,super 35,pl,spherical,,,,95,3 3,5.81,,33,9,,no,,,,3.2,,,,,,,,,,,,
todd-ao,anamorphic primes,28,3.9,prime,super 35,pl / bncr,anamorphic,2x,,,121,15,2.2,35mm ok,23,6,,no,,,,2.2,,,,,vintage,,,,,,,
todd-ao,anamorphic primes,35,1.4,prime,super 35,pl / bncr,anamorphic,2x,,,130,2 6,7.2” - 8.7”,35mm ok,27,15,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, optex 2x",no,,,,7.4,,,,,vintage / telescoping,,,,,,,
todd-ao,anamorphic primes,38,2.3,prime,super 35,pl / bncr,anamorphic,2x,,,136,3,5,35mm ok,28,8,,no,,,,4.2,,,,,vintage,,,,,,,
todd-ao,anamorphic primes,50,2.3,prime,super 35,pl / bncr,anamorphic,2x,,,110,3,5.6,35mm ok,32,12,"ibe 1.4x, ibe 2x",no,,,,4,,,,,vintage,,,,,,,
todd-ao,anamorphic primes,55,1.2,prime,super 35,pl / bncr,anamorphic,2x,,,102mm (adapted to 110mm),3,6,35mm ok,38,16,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x",no,,,,5.6,,,,,vintage,,,,,,,
todd-ao,anamorphic primes,55,1.4,prime,super 35,pl / bncr,anamorphic,2x,,,95mm (adapted to 110mm),1 6,6.2” - 8”,35mm ok,29,15,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, optex 2x",no,,,,4.6,,,,,vintage / telescoping,,,,,,,
todd-ao,anamorphic primes,75,2.2,prime,super 35,pl / bncr,anamorphic,2x,,,110,3,6,35mm ok,38 clear / 43 with falloff,12,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, optex 2x",no,,,,4.6,,,,,vintage,,,,,,,
todd-ao,anamorphic primes,75,2.5,prime,super 35,pl / bncr,anamorphic,2x,,,98mm (adapted to 110mm),3,6,35mm ok,38 clear / 43 with falloff,12,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, optex, 2x, century 2x",no,,,,4.8,,,,,vintage,,,,,,,
todd-ao,anamorphic primes,100,3.4,prime,super 35,pl / bncr,anamorphic,2x,,,98mm (adapted to 110mm),3,8.13,35mm ok,41 clear / 43 with falloff,16,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, optex, 2x, century 2x, optitek 1.4x",no,,,,5.4,,,,,vintage,,,,,,,
todd-ao,anamorphic primes,200,4 (2.8 below 2'),prime,super 35,pl / bncr,anamorphic,2x,,,84mm (adapted to 110mm or 93mm),1 5.7,6.4 - 8.4,35mm ok,34 clear / 43 with falloff,16,"ibe 1.4x, ibe 2x",no,,,,3.6,,,,,vintage / telescoping / 93mm front accepts series 9 filter; macro,,,,,,,
tls,morpheus,80-200,2.8,zoom,full frame,pl,spherical,,,,110,4.9,7.5,,43.3,9,,,no,,,5.07,,,,,"rehoused nikon still zoom, from tls",,,,,,,
tls,aurora,24-70,2.8,zoom,super 35,pl,spherical,,,,110,16,6.55,,42,9,"ibe 1.4x, ibe 2x, century 2x, optex 2x",no,,,38mm,4.5,,,n/a (no bracket),,vintage / tls rehoused,,,,,,,
tls,morpheus,80-200,2.8,zoom,super 35,pl,spherical,,,,110mm / 114,5,7.5,,40 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x",no,,,38mm (1/4-20),5.5,,,n/a (no bracket),,manufactured in 2006,,,,,,,
technovision,zeiss standard speed,12,2.1,prime,super 35,pl,spherical,,,,156,8,3.6,35mm ok,29,6,,no,,,,3.6,,,,,"w/ technovision front, modified 16mm standard speed",,,,,,,
technovision,cineovision,22,2,prime,super 35,pl,anamorphic,2x,,,,3 5,,35mm ok,,,,no,,,,,,,,,telescoping and rotating front / vintage /,,,,,,,
