Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original ESC Name
Ancient Optics,Phenix,28-70,T2.12,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,28-70mm Ancient Optics Phenix Zoom T2.12
Ancient Optics,Series 65,25,T3.6,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,25mm Series 65 T3.6 (LPL) - Ancient Optics
Ancient Optics,Series 65,30,T3.6,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,30mm Series 65 T3.6 (LPL) - Ancient Optics
Ancient Optics,Series 65,35,T3.6,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,35mm Series 65 T3.6 (LPL) - Ancient Optics
Ancient Optics,Series 65,45,T3.9,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,45mm Series 65 T3.9 (LPL) - Ancient Optics
Ancient Optics,Series 65,55,T3.6,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,55mm Series 65 T3.6 (LPL) - Ancient Optics
Ancient Optics,Series 65,125,T2.9,Prime,,LPL,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,125mm Series 65 T2.9 (LPL) - Ancient Optics
Angenieux,Zoom,33-198,T2.9,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,20-120/24-144/33-198mm Angenieux Zoom T2.9 - Ancient Optics
Angenieux,Optimo,44-440,T4.5,Zoom,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,44-440mm Angenieux A-2S Anamorphic Optimo T4.5 - Rear
Angenieux,Optimo,30-72,T4,Zoom,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-72mm Angenieux A-2S Anamorphic Optimo T4
Angenieux,REAR,20-120,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,20-120mm Angenieux Zoom REAR - Ancient Optics
Angenieux,REAR,24-144,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,24-144mm Angenieux Zoom REAR - Ancient Optics
