,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
,,85mm,1.9,3',2.6 lbs,"3.6""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,No,N/A,1998,,,,,
,,100mm,1.9,"3' 3""",2.6 lbs,"3.6""",95mm,PL,38mm clear / 43mm with falloff,35mm OK,10,None,No,No,N/A,1998,,,,,
,,135mm,1.9,5',3.5 lbs,"4.7""",95mm,PL,39mm clear / 43mm with falloff,35mm OK,10,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,1998,,,,,
,,180mm,1.9,"8' 6""",5.7 lbs,"6.5""",114mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,1998,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
ARRI / Zeiss,Ultra Prime LDS,12mm,2,"11.8""",4.8 lbs,"5.5""",156mm,PL,,35mm OK,9,,,Yes,N/A,,Not currently in inventory,,,,
,,14mm,1.9,"9""",4 lbs,"4.4""",114mm,PL,30mm clear / 31.5mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,
,,16mm,1.9,"12""",3.3 lbs,"3.9""",104mm,PL,30mm clear / 32mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,
,,20mm,1.9,"12""",3.3 lbs,"3.9""",104mm,PL,33mm clear / 36mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,
,,24mm,1.9,"11.8""",2.9 lbs,"3.6""",104mm,PL,34mm clear / 38mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,
,,28mm,1.9,"12""",3.3 lbs,"3.9""",104mm,PL,35mm clear / 38mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,
,,32mm,1.9,"15""",3.1 lbs,"3.9""",104mm,PL,36mm clear / 38mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,
,,40mm,1.9,"15""",3.3 lbs,"3.9""",104mm,PL,38mm clear / 40mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,
,,50mm,1.9,2',2.6 lbs,"3.9""",104mm,PL,38mm clear / 40mm with falloff,35mm OK,9,None,,Yes,N/A,,,,,,
,,65mm,1.9,"2' 3""",3.1 lbs,"3.9""",104mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X",,Yes,N/A,,,,,,
,,85mm,1.9,3',3.3 lbs,"3.9""",104mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,Yes,N/A,,,,,,
,,100mm,1.9,"3' 3""",3.4 lbs,"3.9""",104mm,PL,38mm clear / 43mm with falloff,35mm OK,10,None,,Yes,N/A,,,,,,
,,135mm,1.9,5',4.2 lbs,"4.7""",104mm,PL,39mm clear / 43mm with falloff,35mm OK,10,"IBE 1.4X, IBE 2X",,Yes,N/A,,,,,,
,,180mm,1.9,"102.4""",6.2 lbs,"6.5""",114mm,PL,40mm clear / 43mm with falloff,35mm OK,9,,,Yes,N/A,,Not currently in inventory,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Bausch & Lomb,Super Baltar,20mm,2.3,"18""",2.2 lbs,"3.6"" - 3.7""",80mm (95mm for Clairmont),PL,32mm,35mm OK,10,"IBE 1.4X, IBE 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,
,,25mm,2.3,"18""",3 lbs,"5.2"" - 5.25""",80mm (95mm for Clairmont),PL,32mm,35mm OK,11,"IBE 1.4X, IBE 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,
,,35mm,2.3,"18""",1.4 lbs,"2.85"" - 3.1""",80mm (95mm for Clairmont),PL,34mm clear / 41mm with falloff,35mm OK,12,"IBE 1.4X, IBE 2X, Ang 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,
,,50mm,2.3,"18""",1.2 lb,"3.5"" - 3.8""",80mm (95mm for Clairmont),PL,34mm clear / 38mm with falloff,35mm OK,10,"IBE 1.4X, IBE 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,
,,75mm,2.3,"22""",1.3 lbs,"3.7"" - 4.25""",80mm (95mm for Clairmont),PL,40mm clear / 43mm with falloff,35mm OK,10,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,N/A,,Telescoping / Vintage: 1960's,,,,
