,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,Focal Length
,,9.5mm,1.3,"10""",1.6 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,12mm,1.3,"10""",1.5 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,14mm,1.3,"10""",1.7 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,16mm,1.3,"10""",1.8 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,20mm,1.3,"10""",2 lbs,"2.8""",80mm,PL,18mm,16mm ONLY OK,9,None,No,N/A,,Vintage,,,,,,,,,
,,25mm,1.3,"10""",1.7 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,35mm,1.3,"10""",2.2 lbs,"2.4""",80mm,PL,23mm,16mm ONLY OK,10,None,No,N/A,,Vintage,,,,,,,,,
,,50mm,1.3,"20""",2 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,85mm,1.4,"3' 4""",2.2 lbs,"3.2""",80mm,PL,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,
Century,S2000,1.9mm,2,Fixed,0.7 lbs,"2.25""",,C,,16mm ONLY OK,,,No,N/A,,Vintage / Not currently in inventory,,,,,,,,,
,,3.5mm,2.8,1',1.2 lbs,"2""",123mm / 80mm,PL / Bayonet,13mm,16mm ONLY OK,12,None,No,N/A,,"Vintage / Does not focus / Removable front diameter adapter
DOES NOT FIT ON ARRI DIGITAL CAMERAS",,,,,,,,,
,,6mm,1.9,"12""",2.2 lbs,"3.75""",87mm,PL,15mm,16mm ONLY OK,7,None,No,N/A,,"Vintage / Drop-in filter size: 40.5mm / Comes with ""4.5mm Double Asphere"" (see lens aks)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,
Optar,Illumina,8mm,1.3,"10""",1.4 lbs,"2.25""",80mm,PL / Bayonet,15mm,16mm ONLY OK,10,None,No,N/A,,Vintage,,,,,,,,,
,,9.5mm,1.3,"10""",1.4 lbs,"2.25""",80mm,PL / Bayonet,15.2mm,16mm ONLY OK,,,No,N/A,,Not currently in inventory / Vintage,,,,,,,,,
,,12mm,1.3,"10""",1.4 lbs,"2.25""",80mm,PL / Bayonet,15.34mm,16mm ONLY OK,,,No,N/A,,Not currently in inventory / Vintage,,,,,,,,,
,,16mm,1.3,"10""",1.5 lbs,"2.4""",80mm,PL / Bayonet,15.8mm,16mm ONLY OK,,,No,N/A,,Not currently in inventory / Vintage,,,,,,,,,
,,25mm,1.3,"10""",1.4 lbs,"2.4""",80mm,PL / Bayonet,17mm,16mm ONLY OK,,,No,N/A,,Not currently in inventory / Vintage,,,,,,,,,
,,50mm,1.3,"20""",1.5 lbs,"2.6""",80mm,PL / Bayonet,27mm,16mm ONLY OK,,,No,N/A,,Not currently in inventory / Vintage,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,,
Angenieux,R7,5.9mm,1.8,Fixed,0.8 lbs,"2.4""",75mm,Bayonet,14mm,NO,6,None,No,N/A,,Vintage,,,,,,,,,
