,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Kinoptic,Tegea,9.8mm,2.3,"9""",2.6 lbs,"5""",89mm,PL / Bayonet,24mm clear / 28mm with falloff,35mm OK,9,None,,No,N/A,1960's,"Rectilinear / Drop-in filter size: 2"" x 2"" / Lacks cinema gear pitch",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Kowa,Cine Prominar,15mm,4,9”,0.8 lbs,1.4”,90.5mm,PL,22mm clear / 24mm with falloff,35mm OK,8,None,None,No,N/A,1960's,Focus gear is front diameter / No focus end stops,,,,,,,,
,,20mm,2.6,1',1.8 lbs,"4.5""",120mm,PL,25mm clear / 30mm with falloff,35mm OK,8,None,None,No,N/A,1960's,,,,,,,,,
,,25mm,2.3,1',2.4 lbs,"5.3""",98mm,PL,31mm clear / 34mm with falloff,35mm OK,10,None,None,No,N/A,1960's,,,,,,,,,
,,32mm,2.3,"1' 6""",1.2 lbs,"2.6""",75mm,PL,30mm clear / 38mm with falloff,35mm OK,8,None,None,No,N/A,1960's,Rotating front (with iris),,,,,,,,
,,40mm,2.3,"2' 6""",1 lb,"2.5""",75mm,PL,28mm clear / 34mm with falloff,35mm OK,8,None,None,No,N/A,1960's,Rotating front (with iris),,,,,,,,
,,50mm,2.3,"2' 6""",1 lb,"3"" - 3.4""",70mm,PL,35mm clear / 43mm with falloff,35mm OK,12,"IBE 1.4X, IBE 2X",None,No,N/A,1960's,Rotating front (with iris) / Telescoping,,,,,,,,
,,75mm,2.3,3',1.4 lbs,"3.5"" - 3.75""",70mm,PL,39mm clear / 43mm with falloff,35mm OK,12,"IBE 1.4X, IBE 2X",None,No,N/A,1960's,Rotating front (with iris) / Telescoping,,,,,,,,
,,100mm,2.6,5',1.8 lbs,"3.8 - 4.2""",70mm,PL,39mm clear / 43mm with falloff,35mm OK,12,"IBE 1.4X, IBE 2X",None,No,N/A,1960's,Rotating front (with iris) / Telescoping,,,,,,,,
,,200mm,2.8,8',3 lbs,,,PL,,35mm OK,,,None,No,N/A,1960's,Not currently in inventory,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Kowa,Cine Prominar,15mm,4,"7""",1.8 lbs,"2.2""",125mm,PL,26mm,35mm OK,8,None,No,No,N/A,1960's,TLS,,,,,,,,
,,20mm,2.6,"10""",3.2 lbs,"4.2""",110mm,PL,37mm,35mm OK,8,None,No,No,N/A,1960's,TLS,,,,,,,,
,,25mm,2.3,"11""",4.2 lbs,"5.6""",110mm,PL,35mm,35mm OK,10,"IBE 1.4X, IBE 2X",No,No,N/A,1960's,TLS,,,,,,,,
,,32mm,2.3,"10""",2 lbs,"2.6""",110mm,PL,32mm clear / 38mm with falloff,35mm OK,8,None,No,No,N/A,1960's,TLS,,,,,,,,
,,40mm,2.3,"13""",2 lbs,"2.6""",110mm,PL,31mm clear / 38mm with falloff,35mm OK,8,None,Duclos 1.7X,No,N/A,1960's,TLS,,,,,,,,
,,50mm,2.3,"19""",2 lbs,"2.6""",110mm,PL,35mm clear / 43mm with falloff,35mm OK,12,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,1960's,TLS,,,,,,,,
,,75mm,2.3,"2' 4""",2.6 lbs,"3.4""",110mm,PL,39mm clear / 43mm with falloff,35mm OK,12,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,1960's,TLS,,,,,,,,
,,100mm,2.6,"3' 3""",3.8 lbs,"5.1""",110mm,PL,40mm clear / 43mm with falloff,35mm OK,12,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,1960's,TLS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LOMO,Illumina Mk-II,14mm,1.8,"10""",3.5 lbs,"5""",120mm,PL,33.5mm,,,,,No,N/A,,Luma Tech Housing,,,,,,,,
,,18mm,1.3,"10""",3.4 lbs,"4.4"" - 4.5""",95mm,PL,33mm,,9,None,,No,N/A,,Luma Tech Housing,,,,,,,,
,,25mm,1.3,"10""",3.8 lbs,"4.5"" - 4.7""",95mm,PL,35mm,,9,None,,No,N/A,,Luma Tech Housing,,,,,,,,
,,35mm,1.3,"1' 2""",3.4 lbs,"4"" - 4.2""",95mm,PL,35mm,,9,"IBE 1.4X, IBE 2X",,No,N/A,,Luma Tech Housing,,,,,,,,
,,50mm,1.3,"2' 2""",2.8 lbs,"3.75"" - 3.9""",95mm,PL,39mm,,9,"IBE 1.4X, IBE 2X",,No,N/A,,Luma Tech Housing,,,,,,,,
