,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
,,225mm,6,,,,114mm,PL,50mm,,14,1.79x,N/A,No,,2022,Middle,Expanded 150mm Not currently in inventory,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
Cooke,1.8x FF Anamorphic,32mm,2.3,"2' 11""",9.2 lbs,"8.1""",136mm,PL,46.3mm,,11,1.8x,,Yes,,2019,Middle,,,,,,
,,40mm,2.3,"2' 11""",9.7 lbs,"8.3""",136mm,PL,46.3mm,,11,1.8x,,Yes,,2019,Middle,,,,,,
,,50mm,2.3,"2' 9""",8.8 lbs,"8""",110mm,PL,46.3mm,,11,1.8x,,Yes,,2019,Middle,,,,,,
,,75mm,2.3,"3' 3""",7.7 lbs,"8.1""",110mm,PL,46.3mm,,11,1.8x,,Yes,,2019,Middle,,,,,,
,,85mm,2.8,"22""",11.4 lbs,"10.7""",136mm,PL,46.3mm,,11,1.8x,,Yes,,2019,Middle, Macro,,,,,
,,100mm,2.3,"3' 10""",8.4 lbs,"9""",110mm,PL,46.3mm,,11,1.8x,,Yes,,2019,Middle,,,,,,
,,135mm,2.3,"4' 10""",11 lbs,"10.67""",110mm,PL,46.3mm,,11,1.8x,,Yes,,2019,Middle,,,,,,
,,180mm,2.9,"6' 6""",13.6 lbs,"12.4""",110mm,PL,46.3mm,,11,1.8x,,Yes,,2019,Middle,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
Glaswerk,One / One+,25mm,2.4,,,,,PL/LPL,29.14mm,,17,2x,,No,,2022,Front,Not currently in inventory / not full frame!,,,,,
,,32mm,2.4,,9.25 lbs,"9.84""",114mm,PL/LPL,39.93mm,,17,2x,,No,,2022,Front,Not currently in inventory,,,,,
,,40mm,2.4,,8.37 lbs,"9.05""",114mm,PL/LPL,39.93mm,,17,2x,,No,,2022,Front,Not currently in inventory,,,,,
,,50mm,2.4,"20""",8.37 lbs,"9.05""",114mm,PL/LPL,39.93mm,,17,2x,,No,,2022,Front,Not currently in inventory,,,,,
,,60mm,2.4,"21""",8.15 lbs,"9.05""",114mm,PL/LPL,39.93mm,,17,2x,,No,,2022,Front,Not currently in inventory,,,,,
,,75mm,2.4,"22""",8.15 lbs,"9.05""",114mm,PL/LPL,39.93mm,,17,2x,,No,,2022,Front,Not currently in inventory,,,,,
,,100mm,2.4,"20""",8.81 lbs,"9.05""",114mm,PL/LPL,39.93mm,,17,2x,,No,,2022,Front,Not currently in inventory,,,,,
,,135mm,2.4,,9.25 lbs,"9.84""",114mm,PL/LPL,39.93mm,,17,2x,,No,,2022,Front,Not currently in inventory,,,,,
,,180mm,,,,,,PL/LPL,39.93mm,,17,2x,,No,,2022,Front,Not currently in inventory,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
Laowa,Nanomorph LF,32mm,2.9,,,,,PL,,,,1.5x,,No,,2024,Middle,Not currently in inventory,,,,,
,,42mm,2.9,,,,,PL,,,,1.5x,,No,,2024,Middle,Not currently in inventory,,,,,
,,55mm,2.9,,,,,PL,,,,1.5x,,No,,2024,Middle,Not currently in inventory,,,,,
,,85mm,2.9,,,,,PL,,,,1.5x,,No,,2024,Middle,Not currently in inventory,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
