,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes
Hawk,V-Lite,14mm,1.5,"2' 9""",4.2 lbs,"4.6""",120mm,PL,16mm,16mm ONLY OK,12,1.3x,Century 2X (16mm),No,N/A,,Middle,
,,18mm,1.5,"3' 6""",6.2 lbs,"5.9""",120mm,PL,16.5mm,16mm ONLY OK,12,1.3x,Century 2X (16mm),No,N/A,,Middle,
,,24mm,1.5,"3' 6""",4.3 lbs,"5.2""",104mm,PL,17mm,16mm ONLY OK,14,1.3x,Century 2X (16mm),No,N/A,,Middle,
,,28mm,1.5,"3' 6""",4.6 lbs,"5.4""",104mm,PL,19mm,16mm ONLY OK,14,1.3x,Century 2X (16mm),No,N/A,,Middle,
,,35mm,1.5,"3' 6""",4.6 lbs,"5.4""",104mm,PL,23mm,16mm ONLY OK,12,1.3x,Century 2X (16mm),No,N/A,,Middle,
