,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
LEITZ,Elmarit-R,19mm,3.2,"11""",2.2 lbs,"2.8""",110mm,PL,33mm clear / 41mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,28mm,2.8,"17""",2.2 lbs,"3""",110mm,PL,35mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X",,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,35mm,1.6,"20""",3.4 lbs,"4.5""",110mm,PL,40mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,50mm,1.4,"19""",2.6 lbs,"3.3""",110mm,PL,40mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,60mm,2.8,,,,110mm,PL,,35mm OK,,,,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,135mm,2.8,,,,110mm,PL,,35mm OK,,,,No,N/A,1970-1990,"P+S Technik, Mark I",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LEITZ,Elmarit-R,19mm,2.8,"11""",1.6 lbs,"2.4""",95mm,PL,33mm clear / 38mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,28mm,2.8,"9""",1.8 lbs,"2.4""",95mm,PL,35mm clear / 42mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,35mm,1.4,2',3.2 lbs,"3.3""",95mm,PL,39mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,50mm,1.4,"1' 8""",2.1 lbs,"3.3""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,80mm,1.4,"2' 3""",3 lbs,"3.3""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,9,"IBE 1.4X, IBE 2X, Optex 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,100mm,2.8,"1' 6""",5.8 lbs,"6.4""",95mm,PL,40mm clear / 43mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,1970-1990,"Mark I, GL Optics,  Macro",,,,,,,,
,,135mm,2.8,5',4.2 lbs,"4.4""",95mm,PL,41mm clear / 43mm with falloff,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,N/A,1970-1990,"Mark I, GL Optics",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LEITZ,Elmarit-R,19mm,2.8,1',1.4 lbs,"2.25""",80mm,PL / Bayonet,35mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X",,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,24mm,,,,,,PL / Bayonet,,35mm OK,,,,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,28mm,2.8,"10""",1.1 lbs,"2.25""",80mm,PL / Bayonet,35mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X",,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,35mm,,,,,,PL / Bayonet,,35mm OK,,,,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
