"Super 35
,,28-76mm,2.6,2',4.5 lbs,"7.3""",114mm,PL,34mm,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,36mm,2007,Small,,
,,30-76mm,2.6,2',4.2 lbs,"7.3""",114mm,PL,31.4mm,35mm OK,,,,No,36mm,2017,Small,Not currently in inventory,
,,38-130mm,3,"3' 1""",4.3 lbs,"8.1""",114mm,PL,34.6mm,35mm OK,,,,No,36mm,2017,Small,Not currently in inventory,
,,45-120mm,2.8,"3' 1""",4.3 lbs,"8""",114mm,PL,35.5mm,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,No,36mm,2011,Small,,
,,48-130mm,3,"3' 1""",4.3 lbs,"8.1""",114mm,PL,34.6mm,35mm OK,,,,No,36mm,2017,Small,Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Angenieux,Optimo DP,16-42mm,2.8,2',4.3 lbs,"7.5""",114mm,PL,31.4mm,NO,6,None,,No,36mm,2007,Small,Elongated rear (35mm format digital cameras only),
,,30-80mm,2.8,2',4.2 lbs,"7.25""",114mm,PL,32mm,NO,6,None,,No,36mm,2007,Small,Elongated rear (35mm format digital cameras only),
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Angenieux,Optimo Ultra 12:1 (S35/U35 models),24-290mm,2.8,4',27.7 lbs,"18.6""",162,PL,31.1mm,35mm OK,9,"Ang 1.4X, Ang 2X","Not necessary, Format Convertable",No,,2017,,Super35 version of Ultra 12:1,
,,26-320mm,3.1,"4' 1""",28.1 lbs,"18.9""",162,PL,34.6mm,35mm OK,9,"Ang 1.4X, Ang 2X (will vignette)","Not necessary, Format Convertable",No,,2017,,Ultra35/Open Gate version of Ultra 12:1,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Angenieux,Optimo Ultra Compact,16-42mm,2.2,2',5.7 lbs,"9.3""",114mm,PL,34mm,,,,,No,,2023,,,
,,28-76mm,2.2,2',5.51 lbs,"9.3""",114mm,PL,34.6mm,,,,,,,2023,,,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Angenieux,Type EZ,15-40mm,2,2’,4.6 lbs,"8.3""",114mm,PL,30.4mm,35mm OK,9,,,,,2017,,Can be converted to large format 22-60mm,
,,30-90mm,2,2’,4.8 lbs,8.8”,114mm,PL,30.4mm,35mm OK,9,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X, Century 2X",,No,36mm,2017,,Can be converted to large format 45-135mm,
,,45-165mm,T2.3 - 3,4',5.7 lbs,"10.4 """,114mm,PL,30.4mm,35mm OK,,,,No,,2023,,Can be converted to large format 68-250mm / Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
ARRI,Master Zoom,16.5-110mm,2.6,"2' 4""",29 lbs,"17.4""",165mm,PL,31mm,35mm OK,11,None,,Yes,Attached to lens,,N/A (No bracket),Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
ARRI,Ultrawide Zoom,9.5-18mm,2.9,"1' 9""",10.5 lbs,"13.25""",134mm / 156mm,PL,34.5mm,,9,"IBE 1.4X, IBE 2X, Ang 2X",Duclos 1.7X,Yes,30mm,,N/A (No bracket),Rectilinear / Produces inverted image,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
ARRI / Fujinon,Alura,15.5-45mm (compact),2.8,2',4.85 lbs,"9""",114mm,PL,31.5mm,35mm OK,9,"IBE 1.4X, IBE 2X",,Yes,39mm,2009,Small,,
,,18-80mm,2.6,"2' 4""",10.4 lbs,"11.25""",134mm,PL,29.1mm,35mm OK,9,"IBE 1.4X, IBE 2X",Duclos 1.7X,No,N/A,2010,Small,,
,,30-80mm (compact),2.8,2',4.85 lbs,"9""",114mm,PL,37mm,35mm OK,9,"IBE 1.4X, IBE 2X",,Yes,39mm,2009,Small,,
,,45-250mm,2.6,4',16.5 lbs,"14.5""",134mm,PL,29.1mm,35mm OK,9,"IBE 1.4X, IBE 2X",,No,N/A,2010,Small,,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
ARRI / ZEISS,LWZ.1,15.5-45mm,2.6,"18""",4.4 lbs,"8.2""",114mm,PL,31.1mm,,9,,N/A,No,N/A,,,Older film era version of LWZ.2,
,LWZ.2,15.5-45mm,2.6,"18""",4.4 lbs,"8.2""",114mm,PL,31.1mm,,9,,N/A,No,N/A,,,EF Mount compatible,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Canon,Cine-Servo,"15-120mm / 
22.5-180mm
w/ Built in
1.5x Expander",2.95-3.95,2.8',7.5 lbs,"11.6""",114mm,PL,"31.5mm w/o
extender engaged",,11,Built In: 1.5x,N/A,Cooke/i,,,,"Servo handle attached, includes built in extender",
,,17-120mm,2.95-3.9,2.8',6.39 lbs,"10""",114mm,PL,31.5mm,,11,N/A,N/A,Cooke/i,,,,"Servo handle attached, earlier Cine-Servo model",
,,"25-250mm / 
37.5-375
w/ Built in
1.5x Expander",2.95-3.95,4',6.7 lbs,"10.4""",114mm,PL,"31.5mm w/o
extender engaged",,11,Built In: 1.5x,N/A,Cooke/i,,,,"Servo handle attached, includes built in extender",
,,"50-1000mm / 
75-1500mm
w/ Built in
1.5x Expander",5.0 - T8.9,11.5',14.55 lbs,"15.95""",136mm,PL,"31.4mm w/o
extender engaged",,11,Built In: 1.5x,N/A,Cooke/i,,2018,,"Servo handle attached, includes built in extender",
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Canon,FD Zoom Multi-Format,24-75mm,2.9,"2' 9""",6.2 lbs,,125mm,PL,S35,,,,,No,,,,"Not currently in inventory / Multi-format convertable zoom, other version is 35-105mm",
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,Notes Cont.
Canon,K-35 Zoom,25-120mm,2.8,"4' (13"" with macro function)",11.5 lbs,"8.4"" - 8.8""",136mm,PL,31mm,35mm OK,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",1.7x Duclos,No,27mm (1/4-20),1973,,Macro function in rear / Telescoping / Vintage,"(Macro Focus Distances):

@ 25mm: minimum 2” from FE to  3’1.5” maximum
@ 120mm: minimum 3’2” to 3’11” maximum"
,,27-300mm,4.5,6.5',8.24 lbs,,134mm,PL,S35,35mm OK,,,,No,,,,Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Canon,CN-E Zoom,14.5-60mm,2.6,"2' 4""",11.6 lbs,"12.5""",136mm,EF / PL,29mm,,11,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,Yes (Canon EOS ONLY),Attached to lens,2013,Small / Standard,Servo handle,
,,17-120mm,2.95 (3.9 at 120mm),"2' 10""",6.4 lbs,"10.4""",114mm,EF / PL,31.7mm,,11,,,Yes (Canon EOS ONLY),,2013,,Servo handle / Not currently in inventory,
,,30-300mm,2.95 (3.7 at 240mm-300mm),5',13.6 lbs,"13.5""",136mm,EF / PL,31mm,,11,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,Yes (Canon EOS ONLY),Attached to lens,2013,Small / Standard,Servo handle / Not currently in inventory,
,,50-1000mm,5 (8.9 at 1000mm),"11' 6""",14.5 lbs,"16.3""",136mm,EF / PL,33mm,,11,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,Yes (Canon EOS ONLY),N/A,2013,Standard,Servo handle / Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Canon,CN-E Compact Zoom,15.5-47mm,2.8,"20""",5 lbs,"8.75""",114mm,EF / PL with Duclos modification,31.4mm,,11,None,,Yes,,2013,,Servo handle / Not currently in inventory,
,,18-80mm,4.4,1.7',2.65 lbs,"7.2""",84mm,EF,31.4mm,,9,None,,Yes,,2013,,Servo handle / Not currently in inventory,
,,30-105mm,2.8,2',5.2 lbs,"8.6""",114mm,EF / PL with Duclos modification,31.4mm,,11,None,,Yes,27mm (1/4-20),2013,,Servo handle / Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Century,S2000 Compact Zoom,17-35mm,2.8,"16""",2.2 lbs,"3.8""",95mm,PL,38mm clear / 42mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,,Digital,"Vintage, Rehoused Canon",
,,28-70mm,3,3',2.8 lbs,"4.5""",95mm,PL,32mm clear / 38mm with falloff,35mm OK,9,None,,No,N/A,,Digital,"Vintage, Rehoused Canon",
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Cooke,CXX,15-40mm,2,"18""",8.4 lbs,"9""",136mm,PL,29mm,35mm OK,8,"IBE 1.4X, IBE 2X",,Yes,Attached to lens,2004,N/A (No bracket),,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Cooke,Cine Varotal,25-250mm,3.9,"5' 6""",10.8 lbs,"12""",136mm,PL universal,28mm,35mm OK,9,"2X anamorphic, IBE 1.4X, IBE 2X, Ang 2X, Century 2X, Optex2X",,No,32mm,1983,Standard,Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Cooke,Cinetal,25-250mm,3.7,"5' 6""",15.5 lbs,"14""",150mm,PL universal,28mm,35mm OK,9,"2X ana., IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,Attached to lens,1992,Standard / Large,,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Cooke,Super Cine Varotal,25-250mm,3.1,,,,,PL,26mm,,,,,No,,1978,,Not currently in inventory,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
